ID,Name,Concepticon_ID,Concepticon_Gloss,Number,Italian_Gloss,French_Gloss,Malagasy_Gloss
108_tolive,to live,1422,BE ALIVE,108,vivere,vivre,velona
109_todie,to die,1494,DIE,109,morire,mourir,maty
110_tokill,to kill,1417,KILL,110,uccidere,tuer,mamono
111_tofight,to fight,1423,FIGHT,111,combattere,se battre,miady
112_tohunt,to hunt,1435,HUNT,112,cacciare,chasser,mihaza
113_tohit,to hit,353,STRIKE,113,colpire,frapper,mikapoka
114_tocut,to cut,1432,CUT,114,tagliare,couper,mandidy
115_tosplit,to split,1437,SPLIT,115,dividere,fendre (diviser),mamaky
116_tostab,to stab,1434,STAB,116,pugnalare,poignarder,manatsatoka antsy
117_toscratch,to scratch,1767,SCRAPE,117,grattare,gratter,mikiky
118_todig,to dig,1418,DIG,118,scavare,creuser,mangady
119_toswim,to swim,1439,SWIM,119,nuotare,nager,milomano
120_tofly,to fly,1441,FLY (MOVE THROUGH AIR),120,volare,voler,manidina
121_towalktogo,to walk (to go),695,GO,121,andare,aller,mandeha
122_tocome,to come,1446,COME,122,venire,venir,avy
123_toliestateasinabed,to lie (state; as in a bed),215,LIE DOWN,123,stare sdraiato,être couche,mandry
124_tositstate,to sit (state),1416,SIT,124,stare seduto,être assis,mipetraka
125_tostandstate,to stand (state),1442,STAND,125,stare in piedi,être debout,mitsangana
126_toturnintransitive,to turn (intransitive),1588,TURN,126,girare,tourner,mihodina
127_tofall,to fall,1280,FALL,127,cadere,tomber,mianjera
128_togive,to give,1447,GIVE,128,dare,donner,manome
129_tohold,to hold,1448,HOLD,129,tenere,tenir,mitantana
130_tosqueeze,to squeeze,1414,SQUEEZE,130,spremere,presser (comme un citron),manery
131_torub,to rub,1449,RUB,131,strofinare,frotter,manakasoka
132_towash,to wash,1453,WASH,132,lavare,laver,manasa
133_towipe,to wipe,1454,WIPE,133,asciugare,essuyer,mamafa
134_topull,to pull,1455,PULL,134,tirare,tirer,mitifitra
135_topush,to push,1452,PUSH,135,spingere,pousser,manosika
136_tothrow,to throw,1456,THROW,136,lanciare,jeter (lancer),manoraka
137_totie,to tie,1917,TIE,137,legare,lier,mamehy
138_tosew,to sew,1457,SEW,138,cucire,coudre,manjaitra
139_tocount,to count,1420,COUNT,139,contare,compter,manisa
140_tosay,to say,1458,SAY,140,dire,dire,milaza
141_tosing,to sing,1261,SING,141,cantare,chanter,mihira
142_toplay,to play,1413,PLAY,142,giocare,jouer,milalao
143_tofloat,to float,1574,FLOAT,143,galleggiare,flotter,mitsinkafona
144_toflow,to flow,2003,FLOW,144,scorrere,couler,mikoriana
145_tofreeze,to freeze,1431,FREEZE,145,gelare,geler,mandry
146_toswell,to swell,1573,SWELL,146,gonfiare,gonfler,mibontsina
147_sun,sun,1343,SUN,147,sole,soleil,masoandro
148_moon,moon,1313,MOON,148,luna,lune,volana
149_star,star,1430,STAR,149,stella,étoile,kintana
150_water,water,948,WATER,150,acqua,eau,rano
151_rain,rain,658,RAIN (PRECIPITATION),151,pioggia,pluie,orana
152_river,river,666,RIVER,152,fiume,rivière,renirano
153_lake,lake,624,LAKE,153,lago,lac,farihy
154_sea,sea,1474,SEA,154,mare,mer,ranomasina
155_salt,salt,1274,SALT,155,sale,sel,sira
156_stone,stone,857,STONE,156,pietra,pierre,vato
157_sand,sand,671,SAND,157,sabbia,sable,fasika
158_dust,dust,2,DUST,158,polvere,poussière,vovoka
159_earth,earth,1228,EARTH (SOIL),159,terra,terre,tany
160_cloud,cloud,1489,CLOUD,160,nuvola,nuage,rahona
161_fog,fog,249,FOG,161,nebbia,brouillard,zavona
162_sky,sky,1732,SKY,162,cielo,ciel,lanitra
163_wind,wind,960,WIND,163,vento,vent,rivotra
164_snow,snow,784,SNOW,164,neve,neige,ranomandry
165_ice,ice,617,ICE,165,ghiaccio,glace,ranomandry
166_smoke,smoke,778,SMOKE (EXHAUST),166,fumo,fumée,setroka
167_fire,fire,221,FIRE,167,fuoco,feu,afo
168_ash,ash,646,ASH,168,cenere,cendre,lavenona
169_toburn,to burn,2102,BURN,169,bruciare,brûler,mandoro
170_road,road,667,ROAD,170,strada,route,lalana
171_mountain,mountain,639,MOUNTAIN,171,montagna,montagne,tendrombohitra
172_red,red,156,RED,172,rosso,rouge,mena
173_green,green,1425,GREEN,173,verde,vert,maitso
174_yellow,yellow,1424,YELLOW,174,giallo,jaune,mavo
175_white,white,1335,WHITE,175,bianco,blanc,fotsy
176_black,black,163,BLACK,176,nero,noir,mainty
177_night,night,1233,NIGHT,177,notte,nuit,alina
178_day,day,1225,DAY (NOT NIGHT),178,giorno,jour,andro
179_year,year,1226,YEAR,179,anno,an (année),taona
180_warm,warm,1232,WARM,180,caldo,chaud,mafana
181_cold,cold,1287,COLD,181,freddo,froid,mangatsiaka
182_full,full,1429,FULL,182,pieno,plein,feno
183_new,new,1231,NEW,183,nuovo,nouveau,vaovao
184_old,old,1229,OLD,184,vecchio,vieux,antitra
185_good,good,1035,GOOD,185,buono,bon,tsara
186_bad,bad,1292,BAD,186,cattivo,mauvais,ratsy
187_rotten,rotten,1728,ROTTEN,187,marcio,pourri,lo
188_dirty,dirty,1230,DIRTY,188,sporco,sale,maloto
189_straight,straight,1404,STRAIGHT,189,dritto,droit,mahitsy
190_round,round,1395,ROUND,190,rotondo,rond,boribory
191_sharpasaknife,sharp (as a knife),1396,SHARP,191,affilato,tranchant,maranitra
192_dullasaknife,dull (as a knife),379,BLUNT,192,smussato,émoussé,dombo
193_smooth,smooth,1234,SMOOTH,193,liscio,lisse,malama
194_wet,wet,1726,WET,194,bagnato,mouillé,mando
195_dry,dry,1398,DRY,195,secco,sec,maina
196_correctjustright,correct (just; right),1725,CORRECT (RIGHT),196,giusto,juste (correct),mety
197_near,near,1942,NEAR,197,vicino,près,akaiky
198_far,far,1406,FAR,198,lontano,loin,lavitra
199_rightadj,right (adj.),1019,RIGHT,199,destra,droite,havanana
200_leftadj,left (adj.),244,LEFT,200,sinistra,gauche,havia
201_at,at,1461,AT,201,a,à,any
202_in,in,1460,IN,202,in,dans,anaty
203_with,with,1340,WITH,203,con,avec,amin'ny
204_and,and,1577,AND,204,e,et,sy
205_if,if,1459,IF,205,se,si,raha
206_because,because,1157,BECAUSE,206,perché,parce que,satria
207_name,name,1405,NAME,207,nome,nom,anarana
